"Category","Web browser"
"chrome",54.462659380692166
"firefox",20.036429872495447
"mobile safari",8.925318761384336
"edge",6.739526411657559
"safari",3.8251366120218577
"opera",1.639344262295082
"gsa",1.2750455373406193
"brave",0.7285974499089253
"webkit",0.546448087431694
"samsung browser",0.546448087431694
