"Category","Language"
"en",79.41712204007285
"fr",3.8251366120218577
"ru",3.6429872495446265
"pl",2.3679417122040074
"pt",2.185792349726776
"tr",1.8214936247723132
"zh",1.639344262295082
"de",1.639344262295082
"Unknown value",1.092896174863388
"es",1.092896174863388
