"Category","android"
"10",75.97765363128492
"11",1.675977653631285
"12",1.1173184357541899
"13",3.35195530726257
"14",3.35195530726257
"15",2.793296089385475
"16",8.938547486033519
"6_0_1",2.793296089385475
