"Category","chrome"
"62",0.6688963210702341
"120",0.6688963210702341
"122",0.33444816053511706
"124",0.33444816053511706
"126",0.33444816053511706
"127",0.6688963210702341
"128",0.33444816053511706
"129",0.33444816053511706
"131",1.0033444816053512
"132",1.3377926421404682
"133",2.3411371237458196
"134",1.3377926421404682
"135",0.33444816053511706
"137",0.6688963210702341
"138",1.0033444816053512
"139",1.6722408026755853
"140",8.02675585284281
"141",77.25752508361204
"142",0.33444816053511706
"143",1.0033444816053512
